institution,address,city,zip,county,location,latitude,longitude,institution (short)
Abacus Federal Savings Bank,36-30 Main St,Flushing,11354,Queens,"36-30 Main St
Flushing, NY 11354
(40.762407305000465, -73.83166945799962)",40.76240731,-73.83166946,Abacus Federal Savings Bank
Abacus Federal Savings Bank,181-183 Canal Street,New York,10013,New York,"181-183 Canal Street
New York, NY 10013
(40.71623116900048, -73.99607973399964)",40.71623117,-73.99607973,Abacus Federal Savings Bank
Abacus Federal Savings Bank,6-8 Bowery,New York,10013,New York,"6-8 Bowery
New York, NY 10013
(40.71647880500046, -73.99596528099966)",40.71647881,-73.99596528,Abacus Federal Savings Bank
Abacus Federal Savings Bank,104-116 Nassau Street,New York,10038,New York,"104-116 Nassau Street
New York, NY 10038
(40.70879142600046, -74.00917899599966)",40.70879143,-74.009179,Abacus Federal Savings Bank
Access Federal Credit Union,74-76 Main Street,Camden,13316,Oneida,"74-76 Main Street
Camden, NY 13316
(43.33163291900047, -75.74756791399966)",43.33163292,-75.74756791,Access Federal Credit Union
Access Federal Credit Union,6 Franklin,Clinton,13323,Oneida,"6 Franklin
Clinton, NY 13323
(43.047234733000494, -75.38206191999967)",43.04723473,-75.38206192,Access Federal Credit Union
Access Federal Credit Union,2094 Glenwood Plaza,Oneida,13421,Madison,"2094 Glenwood Plaza
Oneida, NY 13421
(43.062703928000474, -75.63774756699968)",43.06270393,-75.63774757,Access Federal Credit Union
Access Federal Credit Union,200 S. George Street,Rome,13440,Oneida,"200 S. George Street
Rome, NY 13440
(43.211350075000496, -75.46300446899966)",43.21135008,-75.46300447,Access Federal Credit Union
Access Federal Credit Union,390 W Seneca Street,Sherrill,13461,Oneida,"390 W Seneca Street
Sherrill, NY 13461
(43.0769871010005, -75.58742077099964)",43.0769871,-75.58742077,Access Federal Credit Union
Adirondack Bank,13150 State Route 12,Boonville,13309,Oneida,"13150 State Route 12
Boonville, NY 13309
(43.47602534200047, -75.31591975199967)",43.47602534,-75.31591975,Adirondack Bank
Adirondack Bank,214 N. Washington Street,Herkimer,13350,Herkimer,"214 N. Washington Street
Herkimer, NY 13350
(43.027841211000464, -74.98610788099967)",43.02784121,-74.98610788,Adirondack Bank
Adirondack Bank,9576 Main Street,Holland Patent,13354,Oneida,"9576 Main Street
Holland Patent, NY 13354
(43.243081057000495, -75.25439328099964)",43.24308106,-75.25439328,Adirondack Bank
Adirondack Bank,296 W. Main Street,Ilion,13357,Herkimer,"296 W. Main Street
Ilion, NY 13357
(43.0200063420005, -75.04639195899966)",43.02000634,-75.04639196,Adirondack Bank
Adirondack Bank,38 Hadjis Way,Lake Placid,12946,Essex,"38 Hadjis Way
Lake Placid, NY 12946
(44.29677023700049, -73.99885276799967)",44.29677024,-73.99885277,Adirondack Bank
Adirondack Bank,500 E. Main Street,Little Falls,13365,Herkimer,"500 E. Main Street
Little Falls, NY 13365
(43.043355792000455, -74.85938079599964)",43.04335579,-74.8593808,Adirondack Bank
Adirondack Bank,29 W. Main Street,Mohawk,13407,Herkimer,"29 W. Main Street
Mohawk, NY 13407
(43.01111261000045, -75.00572644099964)",43.01111261,-75.00572644,Adirondack Bank
